segment_id	char_range	frame_range	speaker_id	document_id
41222f7c-5358-48bf-bebd-3e7c0a18abe5	[0, 16)	[188, 225)	T1_GP1	BE_2019_001_T_ELAN
b00e9117-1744-44d7-b4b4-a95706dd5612	[16, 35)	[282, 305)	T1_GP1	BE_2019_001_T_ELAN
32117a21-4552-4eef-9455-0e8b1503acdf	[35, 109)	[313, 419)	T1_GP1	BE_2019_001_T_ELAN
6d2094dc-ba52-4325-8729-309efa0b8efc	[109, 141)	[467, 504)	T1_GP1	BE_2019_001_T_ELAN
7e5117d1-0e31-407b-80d2-2c9ea511e87d	[141, 175)	[553, 590)	T1_GP1	BE_2019_001_T_ELAN
3d52a942-1b25-4a53-ae29-493533eaf9f4	[175, 206)	[616, 643)	T1_GP1	BE_2019_001_T_ELAN
672af58a-6f24-46e1-b682-8f8439002c31	[206, 209)	[686, 696)	T1_GP1	BE_2019_001_T_ELAN
405e1481-7943-4a63-b1e9-d40499440478	[209, 232)	[705, 762)	T1_GP1	BE_2019_001_T_ELAN
693fde22-9ec1-4d18-9fcf-ef2c6b2f2f13	[232, 302)	[775, 854)	T1_GP1	BE_2019_001_T_ELAN
e3c63f1e-0224-4699-a67e-307f813bc523	[302, 305)	[904, 916)	T1_GP1	BE_2019_001_T_ELAN
ec1fab89-2df2-4929-b72e-abb84ca19eff	[305, 312)	[948, 958)	T1_GP1	BE_2019_001_T_ELAN
91fabd82-c376-4f07-90f2-96a3c4f43d7a	[312, 320)	[986, 997)	T1_GP1	BE_2019_001_T_ELAN
5e3cfc62-98bd-43c7-a40f-1a2ca2b36691	[320, 344)	[1015, 1084)	T1_GP1	BE_2019_001_T_ELAN
f21af695-a645-40e1-98d7-e8cfbb174387	[344, 422)	[1102, 1188)	T1_GP1	BE_2019_001_T_ELAN
77a5c92d-43ce-4228-ad75-78db88cfa24f	[422, 504)	[1230, 1326)	T1_GP1	BE_2019_001_T_ELAN
70e55902-8d15-46a6-9229-ec5e9eac83a5	[504, 507)	[1357, 1365)	T1_GP1	BE_2019_001_T_ELAN
b53a04cf-856c-44e0-b553-48647a0a9244	[507, 598)	[1447, 1614)	T1_GP1	BE_2019_001_T_ELAN
35ae5eb7-7836-40f9-89b1-e468fbec8820	[598, 714)	[1629, 1780)	T1_GP1	BE_2019_001_T_ELAN
f85c5a86-6253-4737-aec2-b3a8c704f5ca	[714, 800)	[1781, 1973)	T1_GP1	BE_2019_001_T_ELAN
eb284831-a7e3-417a-8e8f-000f5b30e18b	[800, 945)	[2088, 2316)	T1_GP1	BE_2019_001_T_ELAN
40c04d2a-87d5-4feb-9990-4c078927e273	[945, 1000)	[2325, 2426)	T1_GP1	BE_2019_001_T_ELAN
ce974328-9261-496b-a2fe-22b9d79d9864	[1000, 1007)	[2432, 2442)	T1_GP1	BE_2019_001_T_ELAN
4496b485-e58c-4b9a-bbad-423fb01a62fb	[1007, 1144)	[2496, 2682)	T1_GP1	BE_2019_001_T_ELAN
93174552-d918-4799-9814-4a0ef3493d44	[1144, 1160)	[2706, 2714)	T1_GP1	BE_2019_001_T_ELAN
2e9336f9-450f-4dd7-8553-e8b38312e7c4	[1160, 1192)	[2847, 2889)	T1_GP1	BE_2019_001_T_ELAN
