backgroundnoise_id,char_range,frame_range,text_id
1,"[50808,50809)","[66144,66208)",1
2,"[50809,50810)","[66702,66759)",2
3,"[50810,50811)","[66804,66824)",3
4,"[112240,112241)","[82200,82262)",4
5,"[112241,112242)","[82957,82988)",5
6,"[112242,112243)","[84716,84749)",5
7,"[112243,112244)","[85142,85165)",5
8,"[112244,112245)","[85309,85451)",5
9,"[112245,112246)","[85580,85600)",5
10,"[112246,112247)","[87798,87830)",5
11,"[112247,112248)","[93178,93193)",5
12,"[112248,112249)","[93880,93914)",5
13,"[112249,112250)","[98769,98834)",6
14,"[112250,112251)","[99214,99243)",7
15,"[112251,112252)","[99496,99522)",7
16,"[112252,112253)","[102035,102103)",5
17,"[112253,112254)","[102198,102236)",5
18,"[112254,112255)","[103141,103185)",8
19,"[112255,112256)","[108135,108168)",5
20,"[112256,112257)","[109179,109218)",5
21,"[112257,112258)","[112007,112032)",5
22,"[112258,112259)","[114051,114089)",5
23,"[112259,112260)","[114590,114639)",5
24,"[112260,112261)","[126338,126403)",5
25,"[112261,112262)","[126981,127021)",5
26,"[112262,112263)","[129845,129885)",5
27,"[112263,112264)","[129892,129908)",9
28,"[112264,112265)","[131211,131301)",10
29,"[112265,112266)","[133673,133702)",5
30,"[112266,112267)","[136072,137912)",11
31,"[112267,112268)","[138074,138130)",5
32,"[112268,112269)","[140815,140888)",5
33,"[112269,112270)","[142394,142455)",5
34,"[112270,112271)","[144214,144255)",5
35,"[112271,112272)","[144977,145041)",5
36,"[112272,112273)","[147314,147388)",5
37,"[112273,112274)","[153979,154038)",5
38,"[112274,112275)","[154333,154404)",5
39,"[112275,112276)","[156285,156324)",5
40,"[112276,112277)","[163593,163625)",5
41,"[112277,112278)","[179433,179473)",5
42,"[172590,172591)","[179644,179649)",12
43,"[172591,172592)","[182368,182410)",13
44,"[172592,172593)","[205545,205580)",5
45,"[172593,172594)","[207481,207502)",5
46,"[172594,172595)","[218999,219004)",12
47,"[172595,172596)","[220733,220736)",12
48,"[172596,172597)","[220763,220773)",14
49,"[172597,172598)","[221099,221104)",15
50,"[172598,172599)","[221109,221113)",15
51,"[172599,172600)","[224392,224400)",12
52,"[172600,172601)","[226589,226593)",12
53,"[172601,172602)","[229777,229779)",12
54,"[172602,172603)","[229813,229815)",12
55,"[172603,172604)","[234009,234011)",12
56,"[172604,172605)","[234924,234930)",12
57,"[172605,172606)","[237315,237318)",16
58,"[172606,172607)","[237369,237391)",5
59,"[172607,172608)","[237912,237915)",12
60,"[172608,172609)","[238193,238201)",12
61,"[172609,172610)","[238248,238256)",17
62,"[172610,172611)","[241739,241744)",12
63,"[172611,172612)","[241774,241776)",12
64,"[172612,172613)","[246205,246213)",18
65,"[172613,172614)","[252502,252508)",12
66,"[172614,172615)","[262160,262163)",12
67,"[172615,172616)","[266773,266784)",12
68,"[172616,172617)","[269981,269996)",6
69,"[457361,457362)","[702739,702795)",19
70,"[457362,457363)","[702822,702857)",20
71,"[457363,457364)","[702907,703051)",21
72,"[457364,457365)","[703080,703157)",22
73,"[457365,457366)","[703469,703526)",23
74,"[457366,457367)","[703680,703800)",24
75,"[457367,457368)","[703878,704043)",25
76,"[457368,457369)","[704042,704162)",26
77,"[457369,457370)","[704161,704380)",27
78,"[457370,457371)","[704481,704591)",28
79,"[457371,457372)","[704706,704781)",29
80,"[457372,457373)","[704868,704919)",30
81,"[457373,457374)","[705157,705462)",31
82,"[457374,457375)","[723123,723527)",32
83,"[492750,492751)","[748198,748222)",33
84,"[492751,492752)","[748526,748601)",34
85,"[492752,492753)","[750195,750364)",35
86,"[492753,492754)","[750440,750504)",36
87,"[492754,492755)","[750527,750561)",37
88,"[492755,492756)","[750561,750600)",38
89,"[492756,492757)","[750920,750963)",39
90,"[492757,492758)","[750962,751005)",40
91,"[492758,492759)","[752234,752374)",41
92,"[492759,492760)","[752602,752627)",42
93,"[492760,492761)","[755259,755295)",43
94,"[492761,492762)","[758116,758128)",44
95,"[492762,492763)","[758327,758459)",45
96,"[492763,492764)","[759238,759385)",46
97,"[492764,492765)","[761487,761571)",47
98,"[492765,492766)","[761576,761585)",42
99,"[492766,492767)","[762137,762159)",48
100,"[492767,492768)","[762160,762179)",49
101,"[492768,492769)","[762197,762235)",50
102,"[492769,492770)","[764654,764701)",37
103,"[492770,492771)","[769723,769765)",44
104,"[492771,492772)","[770770,770798)",44
105,"[492772,492773)","[771548,771662)",51
106,"[492773,492774)","[772874,772928)",52
107,"[492774,492775)","[776145,776215)",53
108,"[492775,492776)","[776214,776327)",52
109,"[492776,492777)","[779975,780008)",52
110,"[492777,492778)","[780300,780386)",54
111,"[492778,492779)","[780822,780918)",55
112,"[492779,492780)","[781110,781161)",56
113,"[492780,492781)","[781173,781253)",36
114,"[492781,492782)","[783916,786096)",57
115,"[492782,492783)","[788656,788678)",58
116,"[492783,492784)","[800954,800975)",59
117,"[492784,492785)","[800984,801015)",60
118,"[492785,492786)","[801046,801081)",61
119,"[492786,492787)","[801133,801154)",62
120,"[492787,492788)","[801317,801350)",63
121,"[492788,492789)","[802670,802809)",64
122,"[492789,492790)","[803162,803300)",65
123,"[492790,492791)","[809771,809883)",66
124,"[492791,492792)","[812117,812184)",52
125,"[492792,492793)","[814885,814896)",67
126,"[492793,492794)","[817542,817659)",68
127,"[492794,492795)","[818064,818071)",69
128,"[492795,492796)","[821810,821953)",70
129,"[492796,492797)","[822463,822512)",44
130,"[492797,492798)","[822511,822549)",71
131,"[492798,492799)","[823596,823614)",44
132,"[492799,492800)","[825436,825576)",72
133,"[492800,492801)","[827646,827694)",73
134,"[492801,492802)","[829162,829171)",42
135,"[492802,492803)","[829506,829526)",42
136,"[492803,492804)","[831048,831066)",74
137,"[492804,492805)","[831147,831192)",56
138,"[492805,492806)","[831805,831844)",75
139,"[492806,492807)","[831846,831868)",76
140,"[592514,592515)","[903109,903111)",77
141,"[592515,592516)","[903218,903221)",77
142,"[592516,592517)","[903228,903231)",77
143,"[592517,592518)","[903259,903262)",77
144,"[592518,592519)","[903400,903402)",78
145,"[592519,592520)","[904060,904063)",79
146,"[592520,592521)","[906211,906242)",77
147,"[592521,592522)","[908780,908786)",77
148,"[592522,592523)","[909222,909233)",77
149,"[592523,592524)","[909277,909319)",77
150,"[592524,592525)","[910296,910312)",77
151,"[592525,592526)","[911972,912006)",77
152,"[592526,592527)","[913881,913884)",77
153,"[592527,592528)","[914793,914800)",77
154,"[592528,592529)","[915079,915096)",77
155,"[592529,592530)","[915160,915169)",77
156,"[592530,592531)","[916653,916661)",77
157,"[592531,592532)","[918444,918455)",77
158,"[592532,592533)","[923360,923369)",77
159,"[592533,592534)","[924688,924693)",77
160,"[592534,592535)","[928889,928896)",77
161,"[592535,592536)","[931041,931059)",77
162,"[592536,592537)","[937778,937785)",77
163,"[592537,592538)","[946980,946991)",77
164,"[592538,592539)","[948389,948394)",77
165,"[592539,592540)","[952379,952383)",77
166,"[592540,592541)","[952422,952430)",77
167,"[592541,592542)","[953490,953498)",77
168,"[592542,592543)","[955169,955174)",77
169,"[592543,592544)","[955275,955279)",77
170,"[592544,592545)","[956633,956644)",77
171,"[592545,592546)","[957849,957857)",77
172,"[592546,592547)","[958481,958494)",77
173,"[592547,592548)","[958554,958583)",77
174,"[592548,592549)","[958869,958878)",77
175,"[592549,592550)","[959033,959051)",77
176,"[592550,592551)","[959213,959221)",77
177,"[592551,592552)","[960075,960081)",77
178,"[592552,592553)","[961328,961336)",77
179,"[592553,592554)","[962054,962067)",77
180,"[592554,592555)","[965045,965051)",77
181,"[592555,592556)","[965432,965444)",77
182,"[592556,592557)","[966160,966165)",77
183,"[592557,592558)","[966870,966892)",77
184,"[592558,592559)","[968679,968694)",77
185,"[592559,592560)","[968721,968747)",77
186,"[592560,592561)","[968832,968845)",77
187,"[592561,592562)","[968949,968957)",77
188,"[592562,592563)","[969172,969186)",77
189,"[592563,592564)","[969210,969223)",77
190,"[592564,592565)","[970321,970326)",77
191,"[592565,592566)","[970622,970644)",77
192,"[592566,592567)","[971104,971133)",77
193,"[592567,592568)","[971167,971172)",77
194,"[592568,592569)","[971700,971720)",77
195,"[592569,592570)","[971725,971730)",77
196,"[592570,592571)","[971798,971805)",77
197,"[592571,592572)","[971945,971958)",77
198,"[592572,592573)","[971992,972003)",77
199,"[592573,592574)","[972025,972064)",77
200,"[592574,592575)","[972163,972176)",77
201,"[592575,592576)","[972264,972269)",77
202,"[592576,592577)","[972706,972710)",77
203,"[592577,592578)","[973211,973231)",77
204,"[592578,592579)","[973644,973652)",77
205,"[592579,592580)","[973907,973928)",77
206,"[592580,592581)","[973956,973963)",77
207,"[592581,592582)","[973979,973995)",77
208,"[592582,592583)","[974361,974402)",77
209,"[592583,592584)","[975697,975711)",77
210,"[592584,592585)","[975725,975742)",77
211,"[592585,592586)","[975982,975990)",77
212,"[592586,592587)","[976019,976026)",77
213,"[592587,592588)","[976082,976102)",77
214,"[592588,592589)","[976128,976136)",77
215,"[592589,592590)","[976377,976384)",77
216,"[592590,592591)","[976723,976735)",77
217,"[592591,592592)","[976864,976884)",77
218,"[592592,592593)","[976883,976901)",77
219,"[592593,592594)","[976961,976971)",77
220,"[592594,592595)","[977051,977060)",77
221,"[592595,592596)","[977489,977498)",77
222,"[592596,592597)","[977535,977549)",77
223,"[592597,592598)","[977559,977567)",77
224,"[592598,592599)","[977637,977659)",77
225,"[592599,592600)","[978107,978115)",77
226,"[592600,592601)","[978139,978146)",77
227,"[592601,592602)","[978235,978241)",77
228,"[592602,592603)","[978671,978685)",77
229,"[592603,592604)","[978914,978926)",77
230,"[592604,592605)","[978958,978977)",77
231,"[592605,592606)","[978983,978991)",77
232,"[592606,592607)","[979480,979491)",77
233,"[592607,592608)","[979956,979978)",77
234,"[592608,592609)","[980077,980100)",77
235,"[592609,592610)","[980133,980184)",77
236,"[592610,592611)","[980257,980267)",77
237,"[592611,592612)","[980315,980335)",77
238,"[592612,592613)","[980366,980404)",77
239,"[592613,592614)","[980407,980413)",77
240,"[592614,592615)","[980461,980491)",77
241,"[592615,592616)","[980515,980563)",77
242,"[592616,592617)","[980608,980618)",77
243,"[592617,592618)","[980618,980651)",77
244,"[592618,592619)","[980786,980796)",77
245,"[592619,592620)","[980842,980851)",77
246,"[592620,592621)","[982162,982171)",77
247,"[592621,592622)","[982385,982401)",77
248,"[592622,592623)","[984326,984360)",77
249,"[592623,592624)","[984407,984414)",77
250,"[592624,592625)","[986768,986775)",77
251,"[592625,592626)","[987060,987068)",77
252,"[592626,592627)","[987834,987841)",77
253,"[592627,592628)","[988100,988108)",77
254,"[592628,592629)","[988396,988401)",77
255,"[592629,592630)","[988828,988837)",77
256,"[592630,592631)","[990064,990078)",77
257,"[592631,592632)","[990676,990686)",77
258,"[592632,592633)","[995799,995847)",77
259,"[592633,592634)","[997174,997183)",77
260,"[592634,592635)","[998427,998432)",77
261,"[592635,592636)","[998731,998743)",77
262,"[592636,592637)","[999126,999138)",77
263,"[592637,592638)","[999830,999850)",77
264,"[592638,592639)","[999984,999990)",77
265,"[653687,653688)","[1000594,1000683)",80
266,"[653688,653689)","[1050061,1050217)",81
267,"[653689,653690)","[1063920,1063947)",82
268,"[653690,653691)","[1069268,1069277)",83
269,"[653691,653692)","[1069420,1069471)",84
270,"[721399,721400)","[1095753,1095797)",85
271,"[721400,721401)","[1096266,1096429)",86
272,"[721401,721402)","[1096865,1097074)",87
273,"[721402,721403)","[1098122,1098180)",88
274,"[721403,721404)","[1130915,1131002)",88
275,"[721404,721405)","[1136325,1136376)",88
276,"[721405,721406)","[1137468,1137516)",88
277,"[721406,721407)","[1143703,1143777)",88
278,"[721407,721408)","[1143980,1144009)",88
279,"[721408,721409)","[1144990,1145119)",89
280,"[721409,721410)","[1145280,1145332)",90
281,"[721410,721411)","[1149830,1149894)",91
282,"[721411,721412)","[1165840,1165878)",92
283,"[721412,721413)","[1165913,1165929)",93
284,"[721413,721414)","[1167808,1167832)",94
285,"[721414,721415)","[1169718,1169770)",89
286,"[721415,721416)","[1175253,1175319)",95
287,"[819243,819244)","[1277895,1277968)",89
288,"[819244,819245)","[1320957,1320969)",96
289,"[882884,882885)","[1341823,1341844)",97
290,"[919142,919143)","[1437352,1437376)",98
291,"[919143,919144)","[1450944,1450960)",99
292,"[919144,919145)","[1465480,1467650)",100
293,"[919145,919146)","[1469411,1469462)",101
294,"[919146,919147)","[1469461,1469469)",44
295,"[919147,919148)","[1469495,1469522)",102
296,"[919148,919149)","[1469536,1469548)",103
297,"[919149,919150)","[1471251,1471266)",104
298,"[919150,919151)","[1471419,1471430)",105
299,"[936422,936423)","[1515933,1515952)",106
300,"[936423,936424)","[1516032,1516050)",106
301,"[959107,959108)","[1538015,1538079)",107
302,"[959108,959109)","[1543355,1543613)",108
303,"[959109,959110)","[1554718,1554741)",109
304,"[967413,967414)","[1562451,1562473)",106
305,"[967414,967415)","[1562978,1563000)",106
306,"[967415,967416)","[1563077,1563100)",106
307,"[967416,967417)","[1565471,1565486)",56
308,"[967417,967418)","[1565516,1565546)",110
