speaker_id	speaker
T1_GP1	{"gender": "f", "age": "16", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship daycare", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_GP2	{"gender": "f", "age": "16", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_GP1	{"gender": "m", "age": "18", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_GP3	{"gender": "m", "age": "18", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP1	{"gender": "f", "age": "18", "residence": "Uetendorf", "living_in_bern_since": "10 years", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP2	{"gender": "f", "age": "17", "residence": "Thun", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T4_GP1	{"gender": "m", "age": "16", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "Thurgau, Schaffhausen", "parents_mother_tongue": "Deutsch/Italienisch", "notes": ""}
T4_GP2	{"gender": "m", "age": "17", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_GP1	{"gender": "f", "age": "20", "residence": "Langnau i.E.", "living_in_bern_since": "", "nationality": "", "education": "retail specialist", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_GP2	{"gender": "f", "age": "20", "residence": "Langnau i.E. (Trub)", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T6_GP1	{"gender": "f", "age": "15", "residence": "Bern Bümpliz", "living_in_bern_since": "", "nationality": "", "education": "secondary school", "parents_origin": "", "parents_mother_tongue": "", "notes": "Cheerleading team"}
T6_GP2	{"gender": "f", "age": "15", "residence": "Muri bei Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": "Cheerleading team"}
T7_GP1	{"gender": "m", "age": "12", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": "Fifa 19 Game"}
T7_GP2	{"gender": "m", "age": "12", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": "Fifa 19 Game"}
T8_GP1	{"gender": "f", "age": "19", "residence": "Belp ", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T8_GP2	{"gender": "f", "age": "20", "residence": "Steffisburg", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
