notes_id,char_range,frame_range,text_id,speaker_id
1,"[26998,26999)","[6,52)",1,T1_GP1
2,"[26999,27000)","[414,433)",2,T1_GP1
3,"[27000,27001)","[449,465)",2,T1_GP1
4,"[27001,27002)","[527,535)",1,T1_GP1
5,"[27002,27003)","[534,556)",3,T1_GP1
6,"[27003,27004)","[1175,1220)",4,T1_GP1
7,"[27004,27005)","[2831,2843)",5,T1_GP1
8,"[27005,27006)","[2976,2993)",2,T1_GP1
9,"[27006,27007)","[3013,3070)",2,T1_GP1
10,"[27007,27008)","[3742,3769)",2,T1_GP1
11,"[27008,27009)","[3879,3901)",2,T1_GP1
12,"[27009,27010)","[4157,4185)",6,T1_GP1
13,"[27010,27011)","[4331,4365)",2,T1_GP1
14,"[27011,27012)","[4365,4441)",7,T1_GP1
15,"[27012,27013)","[5525,5548)",2,T1_GP1
16,"[27013,27014)","[5658,5672)",2,T1_GP1
17,"[27014,27015)","[6242,6301)",2,T1_GP1
18,"[27015,27016)","[6712,6774)",2,T1_GP1
19,"[27016,27017)","[7106,7129)",2,T1_GP1
20,"[27017,27018)","[7128,7140)",8,T1_GP1
21,"[27018,27019)","[8049,8066)",9,T1_GP1
22,"[27019,27020)","[8076,8115)",2,T1_GP1
23,"[27020,27021)","[8724,8736)",2,T1_GP1
24,"[27021,27022)","[8859,8897)",2,T1_GP1
25,"[27022,27023)","[9794,9858)",2,T1_GP1
26,"[27023,27024)","[10370,10404)",10,T1_GP1
27,"[27024,27025)","[11530,11602)",11,T1_GP1
28,"[27025,27026)","[12051,12091)",2,T1_GP1
29,"[27026,27027)","[12153,12181)",2,T1_GP1
30,"[27027,27028)","[12269,12285)",2,T1_GP1
31,"[27028,27029)","[14853,14868)",2,T1_GP1
32,"[27029,27030)","[15305,15332)",2,T1_GP1
33,"[27030,27031)","[15484,15559)",2,T1_GP1
34,"[27031,27032)","[16304,16322)",8,T1_GP1
35,"[27032,27033)","[16321,16378)",10,T1_GP1
36,"[27033,27034)","[16484,16565)",2,T1_GP1
37,"[27034,27035)","[18768,18783)",12,T1_GP1
38,"[27035,27036)","[18815,18831)",2,T1_GP1
39,"[27036,27037)","[20527,20551)",13,T1_GP1
40,"[27037,27038)","[20760,20794)",2,T1_GP1
41,"[27038,27039)","[21729,21754)",2,T1_GP1
42,"[27039,27040)","[23996,24025)",2,T1_GP1
43,"[27040,27041)","[25982,25993)",8,T1_GP1
44,"[27041,27042)","[26187,26206)",14,T1_GP1
45,"[27042,27043)","[26899,26921)",12,T1_GP1
46,"[27043,27044)","[27110,27126)",15,T1_GP1
47,"[27044,27045)","[27896,27913)",16,T1_GP1
48,"[27045,27046)","[28714,28746)",17,T1_GP1
49,"[27046,27047)","[30966,30980)",2,T1_GP1
50,"[27047,27048)","[31533,31552)",2,T1_GP1
51,"[27048,27049)","[36915,36936)",2,T1_GP1
52,"[27049,27050)","[36999,37035)",2,T1_GP1
53,"[27050,27051)","[39402,39449)",2,T1_GP1
54,"[27051,27052)","[42420,42449)",18,T1_GP1
55,"[27052,27053)","[42448,42479)",2,T1_GP1
56,"[27053,27054)","[43159,43186)",2,T1_GP1
