sentence_id,char_range,frame_range,speaker_id,original_id
85f926e4-329e-46da-8b24-aff6372e66b4,"[0,17)","[188,226)",1,1
6cf8eba5-ea1a-42a2-81d4-55480d557518,"[17,37)","[281,305)",1,2
8a6b395f-17cc-4243-bcfa-80f38c7d5267,"[37,112)","[313,419)",1,3
5dce4cad-6f76-4d0c-88ec-af47d9a22eb2,"[112,145)","[466,505)",1,4
c641c436-581d-4885-ac65-24a2f2926a23,"[145,180)","[552,591)",1,5
ad3a5ddc-6962-4e53-bc92-01f5a6cd6821,"[180,212)","[616,643)",1,6
6a8a535f-9c93-40fc-a8e6-f2cb036ecefd,"[212,216)","[686,697)",1,7
bb04fb47-96df-400d-a3f4-1a39a9271a67,"[216,240)","[704,762)",1,8
d061ede4-6ac4-4cbf-aa91-c37c9cf60991,"[240,311)","[775,855)",1,9
1e456783-7f47-4db7-b283-a4f5f3a86e46,"[311,315)","[904,917)",1,7
ed6e6d9c-ba78-494d-821e-b7081f845c9b,"[315,323)","[948,958)",1,10
c5f60a0c-f804-46d3-b369-97ae9beca1c7,"[323,332)","[986,998)",1,11
e6dcce4d-c1bd-485f-aaa6-86ab07e8d4d4,"[332,357)","[1014,1085)",1,12
7193560c-8953-48b4-a5b2-0cf0ba67dd07,"[357,436)","[1102,1189)",1,13
8f944a81-a233-4247-8e25-d786ed4e3ca6,"[436,519)","[1230,1326)",1,14
a710e6b3-4619-4335-a1f8-991ec0914410,"[519,523)","[1357,1366)",1,7
d2d9c2fb-90a8-4e4a-bfe4-4a6a5370970e,"[523,615)","[1446,1614)",1,15
afd89958-b878-4921-9235-5a862eb3898f,"[615,732)","[1628,1781)",1,16
b46ce1c4-6c82-443e-b6f9-9f99fa41f970,"[732,819)","[1781,1973)",1,17
5861eae4-814b-49d5-9f7d-4ed409f99a02,"[819,965)","[2088,2317)",1,18
bc103b9f-a3c8-4cce-a3cb-86e427a65a15,"[965,1021)","[2325,2427)",1,19
d09e09c1-9274-4dee-9099-b6bb96e4591e,"[1021,1029)","[2432,2443)",1,20
0ae06b4f-f409-47f4-bff0-abe3643f8853,"[1029,1167)","[2495,2682)",1,21
f5c985df-cc07-44a1-9b4f-522ea64fce21,"[1167,1184)","[2705,2714)",1,1
e6cd329a-37c8-493a-b3ec-b601eafaea16,"[1184,1217)","[2846,2890)",1,22
e0a62a2c-d156-45cc-a5bd-d98ff9592526,"[1217,1249)","[2895,2977)",1,23
7820ed74-4807-470c-87b8-6b6546a8cf7d,"[1249,1346)","[3130,3291)",1,24
3368a596-7320-4314-add2-9b581648e46e,"[1346,1369)","[3294,3328)",1,25
c469048c-a0b3-4083-9267-3ce214e73377,"[1369,1466)","[3329,3503)",1,26
5f91752a-2507-402a-8992-9ce509ace7d7,"[1466,1616)","[3530,3689)",1,27
bcae14bd-af54-4507-8256-df00f687ffad,"[1616,1649)","[3688,3743)",1,28
9572a957-da26-4019-8736-d46bafb2b09f,"[1649,1670)","[3856,3877)",1,29
91445930-69ee-4ad5-b015-15552ac4ab32,"[1670,1676)","[4364,4386)",1,30
3adc675c-8f9c-4ab1-9798-6ff1e3550b63,"[1676,1706)","[4449,4480)",1,31
313e6e28-4ea8-4354-88d9-3f5b6b07d627,"[1706,1734)","[4627,4674)",1,32
8963c468-6f4d-4e1f-bef0-66db4ba5b13b,"[1734,1755)","[4906,4938)",1,33
70af9733-31c0-47f6-8e56-c2176fd8a83d,"[1755,1768)","[5079,5098)",1,34
3d620a4e-2c79-40d5-8fed-4a814364c54a,"[1768,1952)","[5205,5463)",1,35
39766135-8c98-45c6-b3ca-24a0100f0ded,"[1952,1980)","[5723,5765)",1,36
bac40dfb-bab7-41f5-83cd-7ea51326afed,"[1980,2089)","[5835,5957)",1,37
815315ed-ac2c-419e-baff-52675540ea52,"[2089,2133)","[6036,6115)",1,38
2483a374-f904-485c-a220-b169977a90b6,"[2133,2176)","[6127,6290)",1,39
d6764cca-a07f-41a8-a294-2e6e2208e466,"[2176,2196)","[6301,6353)",1,40
38167637-f72d-4b97-bf41-ac6b9dd6b376,"[2196,2317)","[6353,6575)",1,41
aba99b8f-bfff-4bff-86af-2cfd5ee69bde,"[2317,2333)","[6676,6713)",1,42
0bc8d545-a01b-43a2-a757-c9d830e47e9e,"[2333,2337)","[6902,6920)",1,7
fc109275-1594-4ca1-a086-0537b7d00d92,"[2337,2355)","[6940,6970)",1,43
bdd3618f-303a-41c1-8615-fe81c53da41e,"[2355,2379)","[7065,7120)",1,44
0ac07a7e-daed-43b0-9182-eba024855a80,"[2379,2430)","[7161,7236)",1,45
327beef3-051e-4c23-95f5-c962012e6399,"[2430,2665)","[7236,7480)",1,46
6a3f7bab-a5d3-41e0-b774-4046c41aba8e,"[2665,2678)","[7860,7880)",1,47
da54eade-b031-4681-ac09-623d5b0b54a9,"[2678,2737)","[7885,7923)",1,48
5eaa2013-4e9f-48b9-acbe-f9836aded714,"[2737,2784)","[8312,8377)",1,49
