original_id,original
1,(unverständlich)
2,hmm jungschi brunch
3,i ha so e hunne lachfläsh gha u de het tönt wie so ne verreckendi seerobbe
4,när (.) di chlini di ganz zit so
5,när het sie nomau müesse afa lache
6,das isch öppe zwöi minute gange
7,mhm
8,ehm so einisch im monet
9,okay guet das wär viu aber mir hei das semester numme zwöi gha oder so
10,mir tüe
11,zmörgele
12,brunche mit späck u eier
13,das isch de ganz wichtig dr speck het e (.) henne höche (unverständlich) bi üs
14,ja isch richtig gruusig we d ne muesch brate wüu es isch so viu fett wo use chunnt
15,när heimer ufruume after brunch time wo meistens öpper vorbereitet irgendwie meistens d XXX
16,u när itz läsä mer so nes buech när tüe mer das wie vertöife es isch rächt kompliziert eis mau bini vou nid drus cho
17,aber mou mou i has när verstange aber weisch so u was gits aues evangeliste prophete u
18,u so ehm sie hei vo hirte schregstrich lehrer u no öppis dritts u när hei mer haut so chli gluegt ja was mache de die was hei die für ufgabe u so
19,isch henne kompliziert gsi (unverständlich) uhu (.) hää
20,(.) mhm
21,ja i bi äbä das isch de erst brunch gsi i däm semester woni drbi bi gsi wüu mir hei vorher mit de micros speziautag gha u (unverständich)
22,sie si asträngend aber isch guet
23,die wo chöi (unverständlich) si
24,nei teiuwis ize gd die wuuche hani nid so ne nerv gha wie angeri wuuchene o scho weiss nid wieso
25,das isch nid normau so
26,oh eis ching isch die wuuche eifach är het so ne trotzphase weiss oh nid är streikt eifach total
27,är isch ga bisle u het nassi hose gha u het müesse nöii alege är isch sicher öppe zä minute ufem chaute bode eifach ghocket u het sich nid wöue alege
28,när so leg itz d ungerhose a m m
29,(.) (unverständlich)
30,so ja
31,tth das isch (unverständlich)
32,ja das fingi eh i hasse das
33,mit de chopfhörer an
34,dès fingi oh
35,das fingi o immer so die wo usegö oder zäme när hei aui gsehsch se so im grüppli irgendwie ds THUN am bahnhof jede het ei airpod dinne oder was oh immer gsehsch se so u dänksch so mhm
36,ds kasperlitheäterli sicher
37,ja weisch die fühle sich eh wie die krassischte wo mir zwöufi si gsi simer eifach no ching gsi u hei bäbelet
38,mou wart mit zwöufi da simer ir sächste gsi
39,mou da hani imu mou (...) das weissi no ja
40,im bach ga spaziere
41,u när ga (...) ja u ga picknick ässe wüu mer nassi chleider hei gha u d rägehose aus hose eh d rägejacke aus hose agleit
42,d hose ufghänkt
43,ja bir chrüzig da
44,u si einfach nüm usecho
45,ja das mache die ching hüt zu tags aui nüm meh (.)
46,i meine scho itz ir kita we äs ching umgheit när immer so eh när chöi si nüm ufstah wüu si ihri häng nid wei a bode tue wüue de bode ja dräckig isch es gseht im (.) fau henne luschtig us aber nei nei da (.) hiufi imfau dä ching nid uf
47,hä wieso nid
