token_id,form_id,lemma_id,meta,char_range,frame_range,segment_id
1,1,1,"{""note"": ""unintelligible""}","[1,18)","[188,225)",312ced99-02f5-475e-911a-8439acc3e59e
2,2,2,"{""note"": ""-""}","[19,22)","[281,304)",c5ac29a5-a62d-4e85-97af-6f34247c2100
3,3,3,"{""note"": ""-""}","[23,31)","[281,304)",c5ac29a5-a62d-4e85-97af-6f34247c2100
4,4,4,"{""note"": ""-""}","[32,38)","[281,304)",c5ac29a5-a62d-4e85-97af-6f34247c2100
5,5,5,"{""note"": ""-""}","[39,40)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
6,6,6,"{""note"": ""-""}","[41,43)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
7,7,7,"{""note"": ""-""}","[44,46)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
8,8,8,"{""note"": ""-""}","[47,48)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
9,9,9,"{""note"": ""-""}","[49,54)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
10,10,10,"{""note"": ""-""}","[55,65)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
11,11,11,"{""note"": ""-""}","[66,69)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
12,12,12,"{""note"": ""-""}","[70,71)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
13,13,13,"{""note"": ""-""}","[72,74)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
14,14,14,"{""note"": ""-""}","[75,78)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
15,15,15,"{""note"": ""-""}","[79,84)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
16,16,16,"{""note"": ""-""}","[85,88)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
17,7,7,"{""note"": ""-""}","[89,91)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
18,17,17,"{""note"": ""-""}","[92,94)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
19,18,18,"{""note"": ""-""}","[95,106)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
20,19,19,"{""note"": ""-""}","[107,115)","[313,418)",11913918-38b4-4089-8f93-faa51d58d9fc
21,20,20,"{""note"": ""-""}","[116,120)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
22,21,21,"{""note"": ""pause""}","[121,124)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
23,22,22,"{""note"": ""-""}","[125,127)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
24,23,23,"{""note"": ""-""}","[128,134)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
25,22,22,"{""note"": ""-""}","[135,137)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
26,24,24,"{""note"": ""-""}","[138,142)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
27,25,25,"{""note"": ""-""}","[143,146)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
28,7,7,"{""note"": ""-""}","[147,149)","[467,504)",4a75b50e-5e9e-462f-9a66-9c850295b896
29,20,20,"{""note"": ""-""}","[150,154)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
30,14,14,"{""note"": ""-""}","[155,158)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
31,26,26,"{""note"": ""-""}","[159,162)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
32,27,27,"{""note"": ""-""}","[163,168)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
33,28,28,"{""note"": ""-""}","[169,176)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
34,29,29,"{""note"": ""-""}","[177,180)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
35,30,30,"{""note"": ""-""}","[181,186)","[552,590)",55a41f43-ef79-4fb9-91b1-877d4d2a17a3
36,31,31,"{""note"": ""-""}","[187,190)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
37,32,32,"{""note"": ""-""}","[191,195)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
38,33,33,"{""note"": ""-""}","[196,201)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
39,34,34,"{""note"": ""-""}","[202,207)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
40,35,35,"{""note"": ""-""}","[208,214)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
41,36,36,"{""note"": ""-""}","[215,220)","[616,642)",e9030957-9a78-4e01-9c1b-283fc354ada3
