form_id,form
1,(unverständlich)
2,hmm
3,jungschi
4,brunch
5,i
6,ha
7,so
8,e
9,hunne
10,lachfläsh
11,gha
12,u
13,de
14,het
15,tönt
16,wie
17,ne
18,verreckendi
19,seerobbe
20,när
21,(.)
22,di
23,chlini
24,ganz
25,zit
26,sie
27,nomau
28,müesse
29,afa
30,lache
31,das
32,isch
33,öppe
34,zwöi
35,minute
36,gange
37,mhm
38,ehm
39,einisch
40,im
41,monet
42,okay
43,guet
44,wär
45,viu
46,aber
47,mir
48,hei
49,semester
50,numme
51,oder
52,tüe
53,zmörgele
54,brunche
55,mit
56,späck
57,eier
58,wichtig
59,dr
60,speck
61,henne
62,höche
63,bi
64,üs
65,ja
66,richtig
67,gruusig
68,we
69,d
70,muesch
71,brate
72,wüu
73,es
74,fett
75,wo
76,use
77,chunnt
78,heimer
79,ufruume
80,after
81,time
82,meistens
83,öpper
84,vorbereitet
85,irgendwie
86,XXX
87,itz
88,läsä
89,mer
90,nes
91,buech
92,vertöife
93,rächt
94,kompliziert
95,eis
96,mau
97,bini
98,vou
99,nid
100,drus
101,cho
102,mou
103,has
104,verstange
105,weisch
106,was
107,gits
108,aues
109,evangeliste
110,prophete
111,vo
112,hirte
113,schregstrich
114,lehrer
115,no
116,öppis
117,dritts
118,haut
119,chli
120,gluegt
121,mache
122,die
123,für
124,ufgabe
125,gsi
126,uhu
127,hää
128,äbä
129,erst
130,däm
131,woni
132,drbi
133,vorher
134,micros
135,speziautag
136,(unverständich)
137,si
138,asträngend
139,chöi
140,nei
141,teiuwis
142,ize
143,gd
144,wuuche
145,hani
146,nerv
147,angeri
148,wuuchene
149,o
150,scho
151,weiss
152,wieso
153,normau
154,oh
155,ching
156,eifach
157,är
158,trotzphase
159,streikt
160,total
161,ga
162,bisle
163,nassi
164,hose
165,nöii
166,alege
167,sicher
168,zä
169,ufem
170,chaute
171,bode
172,ghocket
173,sich
174,wöue
175,leg
176,ungerhose
177,a
178,m
179,tth
180,fingi
181,eh
182,hasse
183,chopfhörer
184,an
185,dès
186,immer
187,usegö
188,zäme
189,aui
190,gsehsch
191,se
192,grüppli
193,ds
194,THUN
195,am
196,bahnhof
197,jede
198,ei
199,airpod
200,dinne
201,dänksch
202,kasperlitheäterli
203,fühle
204,krassischte
205,zwöufi
206,simer
207,bäbelet
208,wart
209,da
210,ir
211,sächste
212,imu
213,(...)
214,weissi
215,bach
216,spaziere
217,picknick
218,ässe
219,chleider
220,rägehose
221,aus
222,rägejacke
223,agleit
224,ufghänkt
225,bir
226,chrüzig
227,einfach
228,nüm
229,usecho
230,hüt
231,zu
232,tags
233,meh
234,meine
235,kita
236,äs
237,umgheit
238,ufstah
239,ihri
240,häng
241,wei
242,tue
243,wüue
244,dräckig
245,gseht
246,fau
247,luschtig
248,us
249,hiufi
250,imfau
251,dä
252,uf
253,hä
254,zwar
255,hesch
256,du
257,nie
258,sand
259,gspiut
260,auso
261,burg
262,bout
263,womer
264,heisst
265,pastor
266,stimmt
267,genau
268,dörfe
269,sandburge
270,beurteile
271,CARAMBAR
272,derfür
273,becho
274,verlore
275,denn
276,heis
277,vergä
278,üsi
279,cool
280,angere
281,förmli
282,ig
283,äbe
284,süsch
285,idee
286,bade
287,gar
288,doch
289,abe
290,gheisse
291,ischs
292,duss
293,cheuter
294,meer
295,zur
296,duschi
297,hets
298,häre
299,ah
300,duusche
301,mr
302,zrügg
303,häregleit
304,nüt
305,bracht
306,gloub
307,"s'isch"
308,nachem
309,zähni
310,(..)
311,jahr
312,chrank
313,hehe
314,mehrmaus
315,ni
316,fit
317,würk
318,mage
319,darm
320,uhem
321,mi
322,fründ
323,me
324,jung
325,villech
326,gschider
327,em
328,bändeli
329,tuusche
330,wed
331,all
332,inclusive
333,einte
334,zaut
335,art
336,chasch
337,enang
338,usgä
339,verstahnis
340,dass
341,wosch
342,häufe
343,lizisch
344,hotel
345,kultur
346,sowieso
347,guets
348,agebot
349,macht
350,übere
351,huufe
352,vor
353,auem
354,gfaketi
355,überau
356,sis
357,gmerkt
358,chönnte
359,ihm
360,gä
361,verstahs
362,äuä
363,heftig
364,dach
365,agsteute
366,(....)
367,komisch
368,chef
369,gseit
370,verstah
371,nis
372,VOLG
373,kontrolliere
374,niso
375,gchouft
376,ahh
377,zwölf
378,jährige
379,klar
380,dörfte
381,sies
382,verchoufe
383,kirschstängeli
384,wer
385,besuuft
386,aube
387,mim
388,vater
389,fein
390,gfunge
391,baileys
392,gno
393,schlückli
394,porbiere
395,chrazet
396,wii
397,wää
398,bier
399,gärn
400,trinkes
401,je
402,nachdem
403,CHOPFAB
404,ender
405,irgend
406,buh
407,geburi
408,hönne
409,gstört
410,speter
411,erste
412,überhoupt
413,bsoffe
414,wäres
415,drücke
416,id
417,finger
418,zie
419,zersch
420,schue
421,ab
422,SOMMERSBY
423,mega
424,finge
425,strängi
426,istellig
427,diskutiert
428,zue
429,hallo
430,bso
431,besoffe
432,gö
433,suufe
434,verstahni
435,geisch
436,losisch
437,zü
438,musig
439,dine
440,airpods
441,bisch
442,snapchat
443,ungerwägs
444,snappisch
445,snaps
446,obwohl
447,chöntsch
448,rede
449,blödele
450,tschüss
451,angers
452,dir
453,heit
454,nech
455,troffe
456,zum
457,sondern
458,z
459,fiire
460,und
461,chum
462,biite
463,sinn
464,säge
465,dicht
466,wuuchenänd
467,längwilig
468,niemer
469,wider
470,trinke
471,exit
472,probiert
473,spile
474,spili
475,meusch
476,schwirig
477,mittlere
478,extremere
479,dehei
480,müesses
481,muess
482,mä
483,namitag
484,chönt
485,dudes
486,chligruppe
487,konzentriert
488,(unverständllich)
489,headis
490,würd
491,is
492,griff
493,dassi
494,hätt
495,müesste
496,wirsch
497,abgfüut
498,abfüue
499,chaschs
500,wasser
501,insta
502,gläse
503,spass
504,gnue
505,trunke
506,anger
507,usegheit
508,rouhockeyler
509,sogar
510,uttige
511,zuefällig
512,nimmi
513,lug
514,nachbarschft
515,scheisse
516,summer
517,hauetraining
518,aha
519,musikalisch
520,sportlech
521,alphorn
522,horn
523,unihockey
524,einzigi
525,krass
526,räscht
527,usegfulet
528,sportler
529,künstlerklasse
530,normali
531,gymerklasse
532,(.....)
533,woah
534,hm
535,ghöri
536,drzue
537,momänt
538,auber
539,lang
540,bänder
541,lengere
542,usfau
543,cha
544,dür
545,usm
546,sportgymer
547,usegheie
548,(.......)
549,wow
550,inland
551,umgäbig
552,bern
553,fändi
554,chaut
555,biwakne
556,BLUEME
557,fasch
558,möge
559,ufe
560,loufe
561,dänkt
562,zää
563,heiligeschwändi
564,rehaklinik
565,gwüsst
566,haub
567,stung
568,lenger
569,iih
570,rucksack
571,schwerer
572,jakobsweg
573,kilo
574,euf
575,drüü
576,liter
577,pfännli
578,wäg
579,nächste
580,morge
581,liechter
582,gschickt
583,packet
584,inegstopft
585,trage
586,machts
587,super
588,hiufsbereit
589,meischte
590,(........)
591,smartcamp
592,dert
593,nacht
594,ungerkunft
595,müessä
596,suechä
597,hammer
598,huh
599,ugh
600,verbringe
601,ohni
602,schwoscht
603,mh
604,ächt
605,gspannt
606,bös
607,gmeint
608,gseh
609,leitigsperson
610,seit
611,sehr
612,hingerfragt
613,überlege
614,chömet
615,weisi
616,hingerfrage
617,söfu
618,läbes
619,dänker
620,macher(..)
621,sache
622,bim
623,gloube
624,houptsach
625,wot
626,orte
627,fänd
628,HAWAII
629,fiume
630,wunderschön
631,dört
632,schei
633,takiitos
634,takentos
635,schön
636,schöni
637,insle
638,zimlech
639,ribi
640,ömu
641,HOHTÜRLI
642,kientalersiite
643,alpe
644,umgekehrte
645,tempo
646,umgekehrti
647,reihefolg
648,änne
649,aso
650,LOCHMÄNNER
651,äne
652,OESCHINE
653,OESCHINESEE
654,blaus
655,hey
656,gstange
657,achegluegt
658,söu
659,beschribe
660,passiert
661,ernst
662,jetzt
663,dünkt
664,ZAKYNTHOS
665,berührt
666,touristisch
667,afang
668,dobe
669,lüt
670,achä
671,desto
672,witer
673,ache
674,turnschuhe
675,touriste
676,geit
677,sit
678,misstritt
679,gfährdet
680,ufegloffe
681,git
682,itzä
683,dings
684,shuttletaxi
685,taustation
686,see
687,füre
688,eine
689,bärge
690,bruchsch
691,au
692,touris
693,gröselis
694,hingere
695,chöme
696,ufene
697,ume
698,chunnsch
699,rund
700,bergstation
701,vorauem
702,berge
703,natur
704,hashtag
705,naturelife
706,dene
707,schueh
708,naturmönsch
709,richtige
710,naturmönsche
711,go
712,for
