word_id,sentence_id,char_range,frame_range,form_id,note
1,71665e96-fd88-4f9f-b198-b334e4af7d03,"[0,17)","[188,226)",1,unintelligible
2,2f3167b0-21ad-4ded-9e5f-7f929ad7569d,"[17,21)","[281,285)",2,-
3,2f3167b0-21ad-4ded-9e5f-7f929ad7569d,"[21,30)","[285,296)",3,-
4,2f3167b0-21ad-4ded-9e5f-7f929ad7569d,"[30,37)","[296,305)",4,-
5,df338001-183f-44fa-8759-d53ac0f0f85a,"[37,39)","[313,315)",5,-
6,df338001-183f-44fa-8759-d53ac0f0f85a,"[39,42)","[315,319)",6,-
7,df338001-183f-44fa-8759-d53ac0f0f85a,"[42,45)","[319,323)",7,-
8,df338001-183f-44fa-8759-d53ac0f0f85a,"[45,47)","[323,325)",8,-
9,df338001-183f-44fa-8759-d53ac0f0f85a,"[47,53)","[325,334)",9,-
10,df338001-183f-44fa-8759-d53ac0f0f85a,"[53,63)","[334,350)",10,-
11,df338001-183f-44fa-8759-d53ac0f0f85a,"[63,67)","[350,355)",11,-
12,df338001-183f-44fa-8759-d53ac0f0f85a,"[67,69)","[355,357)",12,-
13,df338001-183f-44fa-8759-d53ac0f0f85a,"[69,72)","[357,361)",13,-
14,df338001-183f-44fa-8759-d53ac0f0f85a,"[72,76)","[361,366)",14,-
15,df338001-183f-44fa-8759-d53ac0f0f85a,"[76,81)","[366,373)",15,-
16,df338001-183f-44fa-8759-d53ac0f0f85a,"[81,85)","[373,378)",16,-
17,df338001-183f-44fa-8759-d53ac0f0f85a,"[85,88)","[378,382)",7,-
18,df338001-183f-44fa-8759-d53ac0f0f85a,"[88,91)","[382,386)",17,-
19,df338001-183f-44fa-8759-d53ac0f0f85a,"[91,103)","[386,406)",18,-
20,df338001-183f-44fa-8759-d53ac0f0f85a,"[103,112)","[406,419)",19,-
21,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[112,116)","[466,471)",20,-
22,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[116,120)","[471,476)",21,pause
23,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[120,123)","[476,479)",22,-
24,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[123,130)","[479,488)",23,-
25,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[130,133)","[488,491)",22,-
26,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[133,138)","[491,497)",24,-
27,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[138,142)","[497,502)",25,-
28,4aa9aff3-876b-4cfa-b92f-a073382cf120,"[142,145)","[502,505)",7,-
29,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[145,149)","[552,556)",20,-
30,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[149,153)","[556,560)",14,-
31,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[153,157)","[560,564)",26,-
32,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[157,163)","[564,571)",27,-
33,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[163,170)","[571,579)",28,-
34,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[170,174)","[579,583)",29,-
35,b2a035c0-b0be-4da6-8ab7-4fff1e6703a9,"[174,180)","[583,591)",30,-
36,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[180,184)","[616,619)",31,-
37,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[184,189)","[619,623)",32,-
38,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[189,194)","[623,627)",33,-
39,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[194,199)","[627,631)",34,-
40,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[199,206)","[631,637)",35,-
41,4bd2582b-9c57-492a-bd54-721198d0d7bf,"[206,212)","[637,643)",36,-
42,e410e688-23d9-4975-a676-7d053fa096db,"[212,216)","[686,697)",37,hesitation
43,1851cbd3-2a47-4e6f-accd-4d46c37b6a0d,"[216,220)","[704,713)",38,hesitation
44,1851cbd3-2a47-4e6f-accd-4d46c37b6a0d,"[220,223)","[713,719)",7,-
45,1851cbd3-2a47-4e6f-accd-4d46c37b6a0d,"[223,231)","[719,740)",39,-
46,1851cbd3-2a47-4e6f-accd-4d46c37b6a0d,"[231,234)","[740,746)",40,-
47,1851cbd3-2a47-4e6f-accd-4d46c37b6a0d,"[234,240)","[746,762)",41,-
48,025b869e-2b0e-4659-8e05-bc9182220b39,"[240,245)","[775,781)",42,-
49,025b869e-2b0e-4659-8e05-bc9182220b39,"[245,250)","[781,787)",43,-
50,025b869e-2b0e-4659-8e05-bc9182220b39,"[250,254)","[787,791)",31,-
51,025b869e-2b0e-4659-8e05-bc9182220b39,"[254,258)","[791,795)",44,-
52,025b869e-2b0e-4659-8e05-bc9182220b39,"[258,262)","[795,799)",45,-
53,025b869e-2b0e-4659-8e05-bc9182220b39,"[262,267)","[799,805)",46,-
54,025b869e-2b0e-4659-8e05-bc9182220b39,"[267,271)","[805,809)",47,-
55,025b869e-2b0e-4659-8e05-bc9182220b39,"[271,275)","[809,813)",48,-
56,025b869e-2b0e-4659-8e05-bc9182220b39,"[275,279)","[813,817)",31,-
57,025b869e-2b0e-4659-8e05-bc9182220b39,"[279,288)","[817,828)",49,-
58,025b869e-2b0e-4659-8e05-bc9182220b39,"[288,294)","[828,835)",50,-
59,025b869e-2b0e-4659-8e05-bc9182220b39,"[294,299)","[835,841)",34,-
60,025b869e-2b0e-4659-8e05-bc9182220b39,"[299,303)","[841,845)",11,-
61,025b869e-2b0e-4659-8e05-bc9182220b39,"[303,308)","[845,851)",51,-
62,025b869e-2b0e-4659-8e05-bc9182220b39,"[308,311)","[851,855)",7,-
63,b393ef06-27ab-4e28-ad3c-ba9870997b64,"[311,315)","[904,917)",37,hesitation
64,038b9acf-f1da-4b92-884e-74b26678ddc8,"[315,319)","[948,953)",47,-
65,038b9acf-f1da-4b92-884e-74b26678ddc8,"[319,323)","[953,958)",52,-
66,7f445cf3-08ac-4761-ab1b-1cce1b9c6841,"[323,332)","[986,998)",53,-
67,b27243fb-52cd-465a-bc63-7f1964636249,"[332,340)","[1014,1039)",54,-
68,b27243fb-52cd-465a-bc63-7f1964636249,"[340,344)","[1039,1050)",55,-
69,b27243fb-52cd-465a-bc63-7f1964636249,"[344,350)","[1050,1068)",56,-
70,b27243fb-52cd-465a-bc63-7f1964636249,"[350,352)","[1068,1072)",12,-
71,b27243fb-52cd-465a-bc63-7f1964636249,"[352,357)","[1072,1085)",57,-
72,034ca4d1-f491-416b-a350-19e045f9fc5e,"[357,361)","[1102,1106)",31,-
73,034ca4d1-f491-416b-a350-19e045f9fc5e,"[361,366)","[1106,1111)",32,-
74,034ca4d1-f491-416b-a350-19e045f9fc5e,"[366,369)","[1111,1114)",13,-
75,034ca4d1-f491-416b-a350-19e045f9fc5e,"[369,374)","[1114,1119)",24,-
76,034ca4d1-f491-416b-a350-19e045f9fc5e,"[374,382)","[1119,1129)",58,-
77,034ca4d1-f491-416b-a350-19e045f9fc5e,"[382,385)","[1129,1132)",59,-
78,034ca4d1-f491-416b-a350-19e045f9fc5e,"[385,391)","[1132,1139)",60,-
79,034ca4d1-f491-416b-a350-19e045f9fc5e,"[391,395)","[1139,1143)",14,-
80,034ca4d1-f491-416b-a350-19e045f9fc5e,"[395,397)","[1143,1144)",8,-
81,034ca4d1-f491-416b-a350-19e045f9fc5e,"[397,401)","[1144,1148)",21,pause
82,034ca4d1-f491-416b-a350-19e045f9fc5e,"[401,407)","[1148,1155)",61,-
83,034ca4d1-f491-416b-a350-19e045f9fc5e,"[407,413)","[1155,1162)",62,-
84,034ca4d1-f491-416b-a350-19e045f9fc5e,"[413,430)","[1162,1184)",1,unintelligible
85,034ca4d1-f491-416b-a350-19e045f9fc5e,"[430,433)","[1184,1187)",63,-
86,034ca4d1-f491-416b-a350-19e045f9fc5e,"[433,436)","[1187,1189)",64,-
87,57f6e33d-3390-4598-986e-114e64729628,"[436,439)","[1230,1233)",65,-
88,57f6e33d-3390-4598-986e-114e64729628,"[439,444)","[1233,1239)",32,-
89,57f6e33d-3390-4598-986e-114e64729628,"[444,452)","[1239,1249)",66,-
90,57f6e33d-3390-4598-986e-114e64729628,"[452,460)","[1249,1259)",67,-
91,57f6e33d-3390-4598-986e-114e64729628,"[460,463)","[1259,1262)",68,-
92,57f6e33d-3390-4598-986e-114e64729628,"[463,465)","[1262,1263)",69,-
93,57f6e33d-3390-4598-986e-114e64729628,"[465,468)","[1263,1266)",17,-
94,57f6e33d-3390-4598-986e-114e64729628,"[468,475)","[1266,1275)",70,-
95,57f6e33d-3390-4598-986e-114e64729628,"[475,481)","[1275,1282)",71,-
96,57f6e33d-3390-4598-986e-114e64729628,"[481,485)","[1282,1286)",72,-
97,57f6e33d-3390-4598-986e-114e64729628,"[485,488)","[1286,1289)",73,-
98,57f6e33d-3390-4598-986e-114e64729628,"[488,493)","[1289,1295)",32,-
99,57f6e33d-3390-4598-986e-114e64729628,"[493,496)","[1295,1298)",7,-
100,57f6e33d-3390-4598-986e-114e64729628,"[496,500)","[1298,1302)",45,-
101,57f6e33d-3390-4598-986e-114e64729628,"[500,505)","[1302,1308)",74,-
102,57f6e33d-3390-4598-986e-114e64729628,"[505,508)","[1308,1311)",75,-
103,57f6e33d-3390-4598-986e-114e64729628,"[508,512)","[1311,1315)",76,-
104,57f6e33d-3390-4598-986e-114e64729628,"[512,519)","[1315,1326)",77,-
105,3484cfbf-8a5c-407e-bdee-ccdfa43caac5,"[519,523)","[1357,1366)",37,hesitation
106,9edb7350-8909-4847-9bc0-dc75145a9173,"[523,527)","[1446,1452)",20,-
107,9edb7350-8909-4847-9bc0-dc75145a9173,"[527,534)","[1452,1465)",78,-
108,9edb7350-8909-4847-9bc0-dc75145a9173,"[534,542)","[1465,1480)",79,-
109,9edb7350-8909-4847-9bc0-dc75145a9173,"[542,548)","[1480,1491)",80,-
110,9edb7350-8909-4847-9bc0-dc75145a9173,"[548,555)","[1491,1504)",4,-
111,9edb7350-8909-4847-9bc0-dc75145a9173,"[555,560)","[1504,1513)",81,-
112,9edb7350-8909-4847-9bc0-dc75145a9173,"[560,563)","[1513,1517)",75,-
113,9edb7350-8909-4847-9bc0-dc75145a9173,"[563,572)","[1517,1534)",82,-
114,9edb7350-8909-4847-9bc0-dc75145a9173,"[572,578)","[1534,1545)",83,-
115,9edb7350-8909-4847-9bc0-dc75145a9173,"[578,590)","[1545,1569)",84,-
116,9edb7350-8909-4847-9bc0-dc75145a9173,"[590,600)","[1569,1588)",85,-
117,9edb7350-8909-4847-9bc0-dc75145a9173,"[600,609)","[1588,1605)",82,-
118,9edb7350-8909-4847-9bc0-dc75145a9173,"[609,611)","[1605,1607)",69,-
119,9edb7350-8909-4847-9bc0-dc75145a9173,"[611,615)","[1607,1614)",86,anonymized
120,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[615,617)","[1628,1630)",12,-
121,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[617,621)","[1630,1635)",20,-
122,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[621,625)","[1635,1640)",87,-
123,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[625,630)","[1640,1647)",88,-
124,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[630,634)","[1647,1652)",89,-
125,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[634,637)","[1652,1655)",7,-
126,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[637,641)","[1655,1660)",90,-
127,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[641,647)","[1660,1668)",91,-
128,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[647,651)","[1668,1673)",20,-
129,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[651,655)","[1673,1678)",52,-
130,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[655,659)","[1678,1683)",89,-
131,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[659,663)","[1683,1688)",31,-
132,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[663,667)","[1688,1693)",16,-
133,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[667,676)","[1693,1706)",92,-
134,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[676,679)","[1706,1709)",73,-
135,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[679,684)","[1709,1716)",32,-
136,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[684,690)","[1716,1724)",93,-
137,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[690,702)","[1724,1742)",94,-
138,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[702,706)","[1742,1747)",95,-
139,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[706,710)","[1747,1752)",96,-
140,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[710,715)","[1752,1759)",97,-
141,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[715,719)","[1759,1764)",98,-
142,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[719,723)","[1764,1769)",99,-
143,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[723,728)","[1769,1776)",100,-
144,4a3d384b-de94-4e99-bf80-8925798e4ddc,"[728,732)","[1776,1781)",101,-
145,b7f54f99-65d5-4c97-a900-e16134632275,"[732,737)","[1781,1792)",46,-
146,b7f54f99-65d5-4c97-a900-e16134632275,"[737,741)","[1792,1800)",102,-
147,b7f54f99-65d5-4c97-a900-e16134632275,"[741,745)","[1800,1808)",102,-
148,b7f54f99-65d5-4c97-a900-e16134632275,"[745,747)","[1808,1811)",5,-
149,b7f54f99-65d5-4c97-a900-e16134632275,"[747,751)","[1811,1819)",103,-
150,b7f54f99-65d5-4c97-a900-e16134632275,"[751,755)","[1819,1827)",20,-
151,b7f54f99-65d5-4c97-a900-e16134632275,"[755,765)","[1827,1852)",104,-
152,b7f54f99-65d5-4c97-a900-e16134632275,"[765,770)","[1852,1863)",46,-
153,b7f54f99-65d5-4c97-a900-e16134632275,"[770,777)","[1863,1879)",105,-
154,b7f54f99-65d5-4c97-a900-e16134632275,"[777,780)","[1879,1884)",7,-
